#timestep    time     time step  time step   maximum   -----time step location----     time step
#  number    (sec)      (sec)    cfl (sec)    error    eq_loc  i_loc  j_loc  k_loc      control
     3280  3.279E-06  1.000E-09  3.072E-08  7.056E-06       0      0      0      0   fixed timestep
     3300  3.299E-06  1.000E-09  3.073E-08  4.579E-06       0      0      0      0   fixed timestep
     3320  3.319E-06  1.000E-09  3.073E-08  5.328E-06       0      0      0      0   fixed timestep
     3340  3.339E-06  1.000E-09  3.073E-08  5.052E-05       0      0      0      0   fixed timestep
     3360  3.359E-06  1.000E-09  3.074E-08  1.153E-06       0      0      0      0   fixed timestep
     3380  3.379E-06  1.000E-09  3.074E-08  2.099E-06       0      0      0      0   fixed timestep
     3400  3.399E-06  1.000E-09  3.074E-08  7.262E-05       0      0      0      0   fixed timestep
     3420  3.419E-06  1.000E-09  3.075E-08  3.943E-06       0      0      0      0   fixed timestep
     3440  3.439E-06  1.000E-09  3.075E-08  6.506E-06       0      0      0      0   fixed timestep
     3460  3.459E-06  1.000E-09  3.075E-08  1.181E-06       0      0      0      0   fixed timestep
     3480  3.479E-06  1.000E-09  3.076E-08  6.005E-06       0      0      0      0   fixed timestep
     3500  3.499E-06  1.000E-09  3.076E-08  1.077E-06       0      0      0      0   fixed timestep
     3520  3.519E-06  1.000E-09  3.076E-08  1.952E-06       0      0      0      0   fixed timestep
     3540  3.539E-06  1.000E-09  3.077E-08  2.455E-05       0      0      0      0   fixed timestep
     3560  3.559E-06  1.000E-09  3.077E-08  3.797E-07       0      0      0      0   fixed timestep
     3580  3.579E-06  1.000E-09  3.077E-08  4.130E-07       0      0      0      0   fixed timestep
     3600  3.599E-06  1.000E-09  3.078E-08  8.131E-07       0      0      0      0   fixed timestep
     3620  3.619E-06  1.000E-09  3.078E-08  8.615E-07       0      0      0      0   fixed timestep
     3640  3.639E-06  1.000E-09  3.078E-08  9.677E-07       0      0      0      0   fixed timestep
     3660  3.659E-06  1.000E-09  3.079E-08  9.159E-07       0      0      0      0   fixed timestep
     3680  3.679E-06  1.000E-09  3.079E-08  1.571E-06       0      0      0      0   fixed timestep
     3700  3.699E-06  1.000E-09  3.080E-08  9.636E-07       0      0      0      0   fixed timestep
     3720  3.719E-06  1.000E-09  3.080E-08  1.579E-05       0      0      0      0   fixed timestep
     3740  3.739E-06  1.000E-09  3.080E-08  8.546E-07       0      0      0      0   fixed timestep
     3760  3.759E-06  1.000E-09  3.081E-08  1.390E-06       0      0      0      0   fixed timestep
     3780  3.779E-06  1.000E-09  3.081E-08  3.492E-07       0      0      0      0   fixed timestep
     3800  3.799E-06  1.000E-09  3.081E-08  8.464E-07       0      0      0      0   fixed timestep
     3820  3.819E-06  1.000E-09  3.081E-08  1.052E-06       0      0      0      0   fixed timestep
     3840  3.839E-06  1.000E-09  3.082E-08  1.514E-06       0      0      0      0   fixed timestep
     3860  3.859E-06  1.000E-09  3.082E-08  1.817E-06       0      0      0      0   fixed timestep
     3880  3.879E-06  1.000E-09  3.082E-08  4.499E-07       0      0      0      0   fixed timestep
     3900  3.899E-06  1.000E-09  3.082E-08  5.091E-07       0      0      0      0   fixed timestep
     3920  3.919E-06  1.000E-09  3.083E-08  2.133E-06       0      0      0      0   fixed timestep
     3940  3.939E-06  1.000E-09  3.083E-08  9.493E-07       0      0      0      0   fixed timestep
     3960  3.959E-06  1.000E-09  3.083E-08  1.061E-05       0      0      0      0   fixed timestep
     3980  3.979E-06  1.000E-09  3.084E-08  1.856E-06       0      0      0      0   fixed timestep
     4000  3.999E-06  1.000E-09  3.084E-08  1.741E-06       0      0      0      0   fixed timestep
     4020  4.019E-06  1.000E-09  3.084E-08  3.350E-06       0      0      0      0   fixed timestep
     4040  4.039E-06  1.000E-09  3.085E-08  2.505E-07       0      0      0      0   fixed timestep
     4060  4.059E-06  1.000E-09  3.085E-08  9.618E-07       0      0      0      0   fixed timestep
     4080  4.079E-06  1.000E-09  3.085E-08  2.572E-06       0      0      0      0   fixed timestep
     4100  4.099E-06  1.000E-09  3.086E-08  2.538E-07       0      0      0      0   fixed timestep
     4120  4.119E-06  1.000E-09  3.086E-08  4.507E-07       0      0      0      0   fixed timestep
     4140  4.139E-06  1.000E-09  3.086E-08  1.165E-05       0      0      0      0   fixed timestep
     4160  4.159E-06  1.000E-09  3.086E-08  1.123E-06       0      0      0      0   fixed timestep
     4180  4.179E-06  1.000E-09  3.086E-08  1.159E-06       0      0      0      0   fixed timestep
     4200  4.199E-06  1.000E-09  3.087E-08  1.062E-06       0      0      0      0   fixed timestep
     4220  4.219E-06  1.000E-09  3.087E-08  2.445E-07       0      0      0      0   fixed timestep
     4240  4.239E-06  1.000E-09  3.087E-08  8.067E-06       0      0      0      0   fixed timestep
     4260  4.259E-06  1.000E-09  3.086E-08  3.870E-06       0      0      0      0   fixed timestep
     4280  4.279E-06  1.000E-09  3.086E-08  6.358E-07       0      0      0      0   fixed timestep
     4300  4.299E-06  1.000E-09  3.086E-08  3.414E-06       0      0      0      0   fixed timestep
     4320  4.319E-06  1.000E-09  3.087E-08  1.572E-06       0      0      0      0   fixed timestep
     4340  4.339E-06  1.000E-09  3.088E-08  1.826E-06       0      0      0      0   fixed timestep
     4360  4.359E-06  1.000E-09  3.088E-08  9.601E-07       0      0      0      0   fixed timestep
