# C01-i_time   C02-time     C03-u        C04-v        C05-w        C06-rho      C07-T        C08-P        C09-Mass     C10-X Mom    C11-Y Mom    C12-H2       C13-O2       C14-O        C15-OH       C16-H2O      C17-H        C18-HO2      C19-H2O2     C20-CO       C21-CO2      C22-HCO      C23-N2    
#              (sec)        (cm/s)       (cm/s)       (cm/s)       (g/cm^3)     (K)          (atm)        g/cm^3                                                                                                                                                                                          
        2900  2.900E-006  -8.681E+001   0.000E+000   0.000E+000   2.588E-004   1.024E+003   1.000E+000   2.893E+002  -3.809E-015   0.000E+000   9.346E-003   1.854E-001   1.202E-010   2.969E-011   9.487E-011   1.893E-011   1.331E-010   2.597E-014   1.948E-001   3.918E-010   8.784E-014   6.104E-001
        3000  3.000E-006  -1.231E+002   0.000E+000   0.000E+000   2.592E-004   1.025E+003   9.998E-001   2.893E+002  -1.417E-015   0.000E+000   9.346E-003   1.854E-001   1.256E-010   3.145E-011   1.040E-010   2.011E-011   1.426E-010   2.875E-014   1.948E-001   4.156E-010   9.343E-014   6.104E-001
        3100  3.100E-006  -1.069E+002   0.000E+000   0.000E+000   2.595E-004   1.026E+003   9.997E-001   2.893E+002   7.087E-016   0.000E+000   9.346E-003   1.854E-001   1.310E-010   3.324E-011   1.137E-010   2.132E-011   1.525E-010   3.170E-014   1.948E-001   4.398E-010   9.907E-014   6.104E-001
        3200  3.200E-006  -9.819E+001   0.000E+000   0.000E+000   2.598E-004   1.028E+003   9.998E-001   2.893E+002  -2.126E-015   0.000E+000   9.346E-003   1.854E-001   1.366E-010   3.507E-011   1.239E-010   2.256E-011   1.627E-010   3.486E-014   1.948E-001   4.645E-010   1.049E-013   6.104E-001
        3300  3.300E-006  -9.259E+001   0.000E+000   0.000E+000   2.602E-004   1.029E+003   9.998E-001   2.893E+002   3.366E-015   0.000E+000   9.346E-003   1.854E-001   1.422E-010   3.694E-011   1.346E-010   2.383E-011   1.733E-010   3.822E-014   1.948E-001   4.897E-010   1.108E-013   6.104E-001
        3400  3.400E-006  -1.012E+002   0.000E+000   0.000E+000   2.605E-004   1.030E+003   9.997E-001   2.893E+002   5.492E-015   0.000E+000   9.346E-003   1.854E-001   1.479E-010   3.886E-011   1.458E-010   2.513E-011   1.843E-010   4.180E-014   1.948E-001   5.156E-010   1.169E-013   6.104E-001
        3500  3.500E-006  -9.673E+001   0.000E+000   0.000E+000   2.608E-004   1.031E+003   9.998E-001   2.893E+002   5.581E-015   0.000E+000   9.346E-003   1.854E-001   1.537E-010   4.082E-011   1.576E-010   2.646E-011   1.958E-010   4.560E-014   1.948E-001   5.419E-010   1.231E-013   6.104E-001
        3600  3.600E-006  -1.020E+002   0.000E+000   0.000E+000   2.611E-004   1.032E+003   1.000E+000   2.893E+002  -2.126E-015   0.000E+000   9.346E-003   1.854E-001   1.595E-010   4.283E-011   1.700E-010   2.783E-011   2.076E-010   4.963E-014   1.948E-001   5.688E-010   1.295E-013   6.104E-001
        3700  3.700E-006  -8.365E+001   0.000E+000   0.000E+000   2.614E-004   1.033E+003   1.000E+000   2.893E+002  -7.087E-016   0.000E+000   9.346E-003   1.854E-001   1.655E-010   4.489E-011   1.829E-010   2.922E-011   2.198E-010   5.390E-014   1.948E-001   5.962E-010   1.360E-013   6.104E-001
        3800  3.800E-006  -8.924E+001   0.000E+000   0.000E+000   2.617E-004   1.034E+003   9.998E-001   2.893E+002   7.087E-016   0.000E+000   9.346E-003   1.854E-001   1.716E-010   4.699E-011   1.965E-010   3.065E-011   2.324E-010   5.842E-014   1.948E-001   6.241E-010   1.427E-013   6.104E-001
        3900  3.900E-006  -8.661E+001   0.000E+000   0.000E+000   2.620E-004   1.035E+003   9.998E-001   2.893E+002  -4.783E-015   0.000E+000   9.346E-003   1.854E-001   1.777E-010   4.915E-011   2.106E-010   3.210E-011   2.455E-010   6.319E-014   1.948E-001   6.526E-010   1.495E-013   6.104E-001
        4000  4.000E-006  -8.452E+001   0.000E+000   0.000E+000   2.622E-004   1.035E+003   9.998E-001   2.893E+002  -4.252E-015   0.000E+000   9.346E-003   1.854E-001   1.840E-010   5.135E-011   2.254E-010   3.359E-011   2.590E-010   6.823E-014   1.948E-001   6.816E-010   1.565E-013   6.104E-001
        4100  4.100E-006  -9.357E+001   0.000E+000   0.000E+000   2.624E-004   1.036E+003   9.998E-001   2.893E+002  -9.744E-015   0.000E+000   9.346E-003   1.854E-001   1.903E-010   5.359E-011   2.407E-010   3.511E-011   2.729E-010   7.353E-014   1.948E-001   7.112E-010   1.636E-013   6.104E-001
        4200  4.200E-006  -1.109E+002   0.000E+000   0.000E+000   2.627E-004   1.037E+003   9.999E-001   2.893E+002  -1.063E-015   0.000E+000   9.346E-003   1.854E-001   1.968E-010   5.589E-011   2.567E-010   3.667E-011   2.873E-010   7.912E-014   1.948E-001   7.413E-010   1.709E-013   6.104E-001
        4300  4.300E-006  -6.734E+001   0.000E+000   0.000E+000   2.634E-004   1.038E+003   1.000E+000   2.893E+002  -3.366E-015   0.000E+000   9.346E-003   1.854E-001   2.034E-010   5.824E-011   2.734E-010   3.825E-011   3.021E-010   8.500E-014   1.948E-001   7.718E-010   1.782E-013   6.104E-001
        4400  4.400E-006  -5.766E+001   0.000E+000   0.000E+000   2.634E-004   1.039E+003   9.999E-001   2.893E+002  -5.669E-015   0.000E+000   9.346E-003   1.854E-001   2.101E-010   6.065E-011   2.907E-010   3.987E-011   3.173E-010   9.119E-014   1.948E-001   8.030E-010   1.859E-013   6.104E-001
        4500  4.500E-006  -8.735E+001   0.000E+000   0.000E+000   2.636E-004   1.040E+003   9.998E-001   2.893E+002  -6.024E-015   0.000E+000   9.346E-003   1.854E-001   2.169E-010   6.311E-011   3.087E-010   4.152E-011   3.331E-010   9.769E-014   1.948E-001   8.347E-010   1.936E-013   6.104E-001
        4600  4.600E-006  -8.469E+001   0.000E+000   0.000E+000   2.637E-004   1.040E+003   9.999E-001   2.893E+002  -6.378E-015   0.000E+000   9.346E-003   1.854E-001   2.238E-010   6.562E-011   3.273E-010   4.320E-011   3.493E-010   1.045E-013   1.948E-001   8.669E-010   2.014E-013   6.104E-001
